City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,wellington,-41.29,174.78,53.6,76,66,24.16,NZ,1599585796
183,luanda,-8.84,13.23,77.0,65,0,12.75,AO,1599585796
184,arraial do cabo,-22.97,-42.03,87.8,65,13,5.82,BR,1599586069
185,pandan,14.05,124.17,82.31,82,96,8.86,PH,1599585797
186,antalaha,-14.9,50.28,70.07,88,8,8.7,MG,1599585797
187,raudeberg,61.99,5.14,53.01,93,98,28.27,NO,1599585797
188,mount isa,-20.73,139.5,69.8,32,0,8.05,AU,1599585797
189,manohar thana,24.24,76.8,79.97,79,34,3.27,IN,1599585798
190,trzebiatow,54.06,15.26,64.0,71,90,15.68,PL,1599585798
191,ahipara,-35.17,173.17,47.12,85,0,3.8,NZ,1599585498
192,carnarvon,-24.87,113.63,64.4,93,0,5.82,AU,1599585474
193,airai,-8.93,125.41,55.76,85,74,3.33,TL,1599585477
194,yar-sale,66.83,70.83,53.13,69,99,11.77,RU,1599585799
195,marzuq,14.4,46.47,80.19,58,42,8.3,YE,1599585490
196,iquique,-20.22,-70.14,62.6,59,64,13.87,CL,1599586071
197,polunochnoye,60.87,60.42,53.96,89,83,2.39,RU,1599585799
198,magan,39.97,-3.93,86.0,23,0,10.58,ES,1599585799
199,emba,48.83,58.14,67.95,42,0,10.27,KZ,1599585800
200,buchanan,5.88,-10.05,84.2,79,75,11.41,LR,1599585800
201,vila velha,-20.33,-40.29,80.6,69,20,20.8,BR,1599586071
202,saskylakh,71.92,114.08,44.62,74,0,7.65,RU,1599586071
203,nekrasovka,48.35,135.23,62.6,93,75,15.66,RU,1599585800
204,numan,9.47,12.03,80.73,82,79,3.4,NG,1599585800
205,tezu,27.92,96.17,76.75,81,80,2.82,IN,1599585523
206,itoman,26.12,127.67,82.4,83,75,5.82,JP,1599586072
207,yei,4.09,30.68,68.83,94,3,3.27,SS,1599585801
208,sorong,-0.88,131.25,79.5,82,89,5.79,ID,1599585801
209,beloslav,43.18,27.7,73.4,78,9,4.7,BG,1599585801
210,bonavista,48.65,-53.11,63.12,58,63,16.87,CA,1599585802
211,dakar,14.69,-17.44,84.2,79,40,13.87,SN,1599586063
212,teya,60.38,92.63,42.75,91,96,0.67,RU,1599585522
213,the valley,18.22,-63.06,89.6,74,20,12.75,AI,1599585544
214,doha,25.29,51.53,100.4,56,0,3.36,QA,1599585802
215,hobyo,5.35,48.53,76.68,78,2,25.46,SO,1599585803
216,lyndon,38.26,-85.6,86.0,51,1,9.17,US,1599585803
217,mount gambier,-37.83,140.77,41.0,100,90,1.97,AU,1599586073
218,waipawa,-41.41,175.52,55.0,76,5,24.16,NZ,1599585803
219,fort nelson,58.81,-122.7,59.0,72,75,4.7,CA,1599586074
220,seoul,37.57,126.98,71.6,88,90,3.44,KR,1599585689
221,kokstad,-30.55,29.42,60.24,72,0,4.25,ZA,1599585804
222,takoradi,4.88,-1.76,78.57,81,21,11.72,GH,1599585804
223,faanui,-16.48,-151.75,77.72,76,7,14.32,PF,1599586074
224,yeppoon,-23.13,150.73,62.6,77,21,10.29,AU,1599585804
225,kodinsk,58.69,99.18,42.44,94,29,3.49,RU,1599586075
226,bambous virieux,-20.34,57.76,73.4,83,20,11.41,MU,1599586075
227,marfino,55.7,37.38,53.6,100,90,13.42,RU,1599585805
228,fortuna,40.6,-124.16,66.2,59,1,10.29,US,1599585805
229,milkovo,54.72,158.62,40.68,90,7,6.08,RU,1599585805
230,leh,34.17,77.58,58.01,29,0,3.65,IN,1599585805
231,caravelas,-17.71,-39.25,78.82,52,38,8.14,BR,1599586076
232,meadow lake,34.8,-106.54,81.0,27,40,26.4,US,1599586076
233,nyurba,63.28,118.33,39.9,91,0,4.23,RU,1599585806
234,huittinen,61.18,22.7,55.4,93,90,4.7,FI,1599585806
235,qaqortoq,60.72,-46.03,46.4,65,75,5.82,GL,1599585482
236,pisco,-13.7,-76.22,64.99,72,96,8.05,PE,1599586076
237,olafsvik,64.89,-23.71,45.23,77,100,16.51,IS,1599585486
238,cidreira,-30.18,-50.21,61.66,91,98,16.82,BR,1599586077
239,ballina,-28.87,153.57,54.0,100,75,4.32,AU,1599585807
240,esperance,-33.87,121.9,51.8,93,0,9.17,AU,1599586077
241,cherlak,54.16,74.81,46.26,91,68,7.67,RU,1599585807
242,safaga,26.73,33.94,95.0,36,0,16.11,EG,1599585808
243,saldanha,-33.01,17.94,59.99,84,0,7.61,ZA,1599585808
244,campoverde,-8.48,-74.81,84.2,70,75,10.29,PE,1599585808
245,padang,-0.95,100.35,78.39,80,78,5.79,ID,1599586078
246,puerto leguizamo,-0.19,-74.78,88.11,62,76,1.68,CO,1599585808
247,chumikan,54.72,135.31,50.02,76,100,6.13,RU,1599585534
248,murygino,58.74,49.46,60.85,75,96,7.0,RU,1599585809
249,tower,51.92,-8.6,64.0,93,75,12.75,IE,1599585809
250,labuhan,-6.88,112.21,79.11,77,2,7.0,ID,1599585501
251,ibresi,55.3,47.04,63.19,49,68,10.94,RU,1599585809
252,pimentel,-6.84,-79.93,71.6,56,36,17.22,PE,1599586079
253,maua,-23.67,-46.46,77.0,61,81,10.29,BR,1599585810
254,nanortalik,60.14,-45.24,43.47,67,83,3.96,GL,1599585810
255,tamala,52.54,43.25,60.96,94,100,11.72,RU,1599585810
256,cabedelo,-6.98,-34.83,84.2,58,40,13.87,BR,1599585413
257,alpena,45.06,-83.43,55.99,62,90,4.7,US,1599585697
258,ilhabela,-23.78,-45.36,73.89,76,78,6.08,BR,1599585673
259,koulamoutou,-1.13,12.47,77.36,81,83,3.02,GA,1599585811
260,oistins,13.07,-59.53,87.8,66,20,9.17,BB,1599585811
261,greve strand,55.58,12.3,64.99,63,28,17.22,DK,1599585811
262,novopokrovka,49.84,36.55,60.8,55,32,6.71,UA,1599585811
263,janakpur,26.72,85.91,81.27,84,80,6.82,NP,1599585812
264,manta,-0.95,-80.73,77.0,78,40,10.29,EC,1599585789
265,san roque,36.21,-5.38,73.4,78,75,11.41,ES,1599586081
266,jiazi,22.88,116.07,79.05,87,100,3.2,CN,1599585812
267,tacoronte,28.48,-16.41,89.6,24,0,4.7,ES,1599585813
268,kilrush,52.64,-9.48,66.2,93,75,10.29,IE,1599585813
269,rio brilhante,-21.8,-54.55,93.72,31,99,3.71,BR,1599585813
270,norman wells,65.28,-126.83,50.0,93,75,2.24,CA,1599585789
271,tonaya,19.78,-103.97,75.2,83,75,1.1,MX,1599585814
272,uhlove,44.82,33.6,75.74,69,26,6.89,UA,1599585814
273,moron,-34.65,-58.62,68.0,52,0,17.22,AR,1599585484
274,saint-pierre,-21.34,55.48,73.4,78,18,12.75,RE,1599585814
275,luanshya,-13.14,28.42,70.12,23,0,9.55,ZM,1599585547
276,skegness,53.14,0.34,75.2,69,75,14.99,GB,1599585815
277,mulege,26.88,-111.98,90.55,42,40,2.13,MX,1599585815
278,santiago del estero,-27.8,-64.26,78.46,35,24,12.64,AR,1599585815
279,avarua,-21.21,-159.78,73.4,78,100,6.93,CK,1599586083
280,marshall,34.38,-86.33,84.0,65,40,4.7,US,1599585746
281,manaure,11.78,-72.44,87.8,70,40,9.17,CO,1599585816
282,rio gallegos,-51.62,-69.22,53.6,37,20,12.75,AR,1599585816
283,mineiros,-17.57,-52.55,97.29,14,35,4.12,BR,1599585816
284,carutapera,-1.2,-46.02,87.89,58,48,11.23,BR,1599586083
285,kirgiz-miyaki,53.63,54.8,57.54,57,50,5.17,RU,1599585817
286,sola,-13.88,167.55,75.15,84,100,28.01,VU,1599586084
287,dancheng,33.63,115.18,73.42,70,0,5.37,CN,1599585817
288,sakhipur,24.3,90.18,84.2,74,75,4.7,BD,1599585576
289,kenai,60.55,-151.26,52.0,87,20,8.05,US,1599585533
290,gimli,50.63,-96.99,51.01,99,68,4.0,CA,1599585818
291,ust-maya,60.42,134.53,39.72,91,0,2.13,RU,1599585818
292,shingu,33.73,135.98,74.43,84,40,4.68,JP,1599586085
293,berlevag,70.86,29.09,55.4,66,20,12.75,NO,1599585818
294,cumana,10.46,-64.18,98.6,42,64,9.17,VE,1599585819
295,marsh harbour,26.54,-77.06,84.45,69,63,11.74,BS,1599585525
296,sao gabriel,-30.34,-54.32,65.79,76,86,15.9,BR,1599585819
297,campbell river,50.02,-125.24,68.0,37,5,2.24,CA,1599585641
298,ponta do sol,32.67,-17.1,78.8,74,20,17.22,PT,1599586086
299,yumen,40.28,97.2,62.47,46,11,6.58,CN,1599585820
300,ambon,-3.7,128.18,79.0,14,44,11.23,ID,1599585820
301,tabuk,17.42,121.44,75.11,84,100,1.81,PH,1599585820
302,iralaya,15.0,-83.23,89.6,70,75,6.93,HN,1599586086
303,paamiut,61.99,-49.67,43.09,63,100,10.85,GL,1599586086
304,santa cruz do sul,-29.72,-52.43,66.99,90,100,6.85,BR,1599585572
305,el cobre,20.05,-75.95,87.8,62,40,9.17,CU,1599585821
306,termoli,41.99,14.99,75.0,67,1,1.01,IT,1599585821
307,flinders,-34.58,150.86,64.99,78,99,1.99,AU,1599585821
308,asau,46.43,26.4,57.0,87,46,1.61,RO,1599585821
309,teahupoo,-17.83,-149.27,75.2,78,20,3.36,PF,1599585822
310,price,39.6,-110.81,42.8,41,90,17.22,US,1599585822
311,inhambane,-23.86,35.38,71.6,73,40,11.41,MZ,1599585505
312,killybegs,54.63,-8.45,66.2,93,90,8.05,IE,1599585822
313,mayo,38.89,-76.51,82.99,74,1,6.93,US,1599585526
314,kieta,-6.22,155.63,78.01,81,30,2.98,PG,1599585823
315,awbari,26.59,12.78,95.47,11,0,9.06,LY,1599585539
316,half moon bay,37.46,-122.43,71.01,72,20,4.7,US,1599585823
317,ketchikan,55.34,-131.65,62.6,82,90,5.82,US,1599585685
318,anadyr,64.75,177.48,41.0,86,30,6.71,RU,1599586088
319,vao,-22.67,167.48,67.15,79,80,22.15,NC,1599586088
320,nanga eboko,4.68,12.37,72.27,95,59,2.59,CM,1599585824
